location,time,average,high,low
260,20000820,23,40,10
260,20000821,20,30,10
260,20000822,15,30,10
260,20000823,32,50,10
260,20000824,17,40,10
260,20000825,21,40,10
260,20000826,43,70,20
260,20000827,18,40,10
260,20000828,23,40,10
260,20000829,22,40,0
260,20000830,15,40,0
260,20000831,17,30,10
260,20000901,33,50,20
260,20000902,27,40,10
260,20000903,30,50,10
260,20000904,23,40,10
260,20000905,28,40,20
260,20000906,50,70,30
260,20000907,39,60,30
260,20000908,43,50,30
260,20000909,20,40,0
260,20000910,12,20,0
260,20000911,25,40,10
260,20000912,32,50,20
260,20000913,25,40,0
260,20000914,14,30,0
260,20000915,27,50,10
260,20000916,28,50,10
260,20000917,16,30,0
260,20000918,37,60,20
260,20000919,52,80,40
260,20000920,27,70,10
260,20000921,20,40,10
260,20000922,31,50,20
260,20000923,38,60,20
260,20000924,40,70,20
260,20000925,24,40,10
260,20000926,28,40,20
260,20000927,37,60,20
260,20000928,43,60,20
260,20000929,23,40,10
260,20000930,21,40,10
260,20001001,16,30,0
260,20001002,29,50,20
260,20001003,30,40,20
260,20001004,29,40,10
260,20001005,28,50,10
260,20001006,25,40,10
260,20001007,22,40,10
260,20001008,38,50,10
260,20001009,37,70,10
260,20001010,69,90,50
260,20001011,71,100,40
260,20001012,51,80,20
260,20001013,32,50,10
260,20001014,20,30,10
260,20001015,27,50,10
260,20001016,49,110,10
260,20001017,32,50,10
260,20001018,42,60,20
260,20001019,26,50,0
260,20001020,41,60,10
260,20001021,35,40,30
260,20001022,23,40,10
260,20001023,45,70,30
260,20001024,53,60,40
260,20001025,62,100,30
260,20001026,39,70,20
260,20001027,50,70,30
260,20001028,56,70,50
260,20001029,82,120,60
260,20001030,103,130,80
260,20001031,70,90,50
260,20001101,56,70,40
260,20001102,58,80,30
260,20001103,45,70,30
260,20001104,41,60,30
260,20001105,49,80,30
260,20001106,72,90,50
260,20001107,47,60,30
260,20001108,56,70,50
260,20001109,54,60,40
260,20001110,51,60,40
260,20001111,63,70,40
260,20001112,57,70,30
260,20001113,33,50,20
260,20001114,26,40,10
260,20001115,39,50,30
260,20001116,51,70,30
260,20001117,33,40,20
260,20001118,54,80,20
260,20001119,57,80,30
260,20001120,43,60,30
260,20001121,57,70,40
260,20001122,59,80,40
260,20001123,43,50,30
260,20001124,45,60,30
260,20001125,58,80,40
260,20001126,58,80,40
260,20001127,43,50,30
260,20001128,54,70,40
260,20001129,39,50,20
260,20001130,35,60,20
260,20001201,52,60,40
260,20001202,34,50,10
260,20001203,38,60,20
260,20001204,54,70,30
260,20001205,48,60,40
260,20001206,44,70,30
260,20001207,47,70,30
260,20001208,67,90,60
260,20001209,58,80,50
260,20001210,67,90,50
260,20001211,73,100,50
260,20001212,68,80,50
260,20001213,102,130,90
260,20001214,55,90,40
260,20001215,48,60,30
260,20001216,41,60,20
260,20001217,26,40,10
260,20001218,23,30,20
260,20001219,40,60,30
260,20001220,62,80,50
260,20001221,49,70,30
260,20001222,28,40,20
260,20001223,14,20,10
260,20001224,28,50,10
260,20001225,60,80,40
260,20001226,45,60,20
260,20001227,30,40,20
260,20001228,42,90,10
260,20001229,53,80,40
260,20001230,28,40,20
260,20001231,37,70,10
260,20010101,58,80,40
260,20010102,60,70,40
260,20010103,53,70,40
260,20010104,62,80,50
260,20010105,59,100,20
260,20010106,40,60,20
260,20010107,44,50,30
260,20010108,38,50,30
260,20010109,25,30,10
260,20010110,38,60,20
260,20010111,49,70,30
260,20010112,24,30,10
260,20010113,35,50,20
260,20010114,36,60,20
260,20010115,41,50,20
260,20010116,25,30,10
260,20010117,13,20,10
260,20010118,10,10,0
260,20010119,13,20,0
260,20010120,24,40,10
260,20010121,43,70,20
260,20010122,37,50,20
260,20010123,53,80,30
260,20010124,63,100,30
260,20010125,42,60,30
260,20010126,44,60,40
260,20010127,42,60,20
260,20010128,26,50,10
260,20010129,12,20,0
260,20010130,16,20,10
260,20010131,20,30,10
260,20010201,20,30,10
260,20010202,30,40,20
260,20010203,28,40,10
260,20010204,32,70,10
260,20010205,65,80,50
260,20010206,64,80,40
260,20010207,48,70,30
260,20010208,56,80,10
260,20010209,23,40,10
260,20010210,37,70,10
260,20010211,61,70,50
260,20010212,52,60,20
260,20010213,38,60,10
260,20010214,20,30,0
260,20010215,14,20,10
260,20010216,24,40,10
260,20010217,35,50,10
260,20010218,21,50,10
260,20010219,35,50,20
260,20010220,34,50,20
260,20010221,33,50,20
260,20010222,42,70,10
260,20010223,26,40,0
260,20010224,35,60,0
260,20010225,38,60,20
260,20010226,38,60,20
260,20010227,49,70,30
260,20010228,21,30,10
260,20010301,18,30,10
260,20010302,29,60,10
260,20010303,35,60,30
260,20010304,33,40,20
260,20010305,25,40,10
260,20010306,46,70,30
260,20010307,38,60,10
260,20010308,39,70,20
260,20010309,48,60,30
260,20010310,43,60,30
260,20010311,47,80,30
260,20010312,51,70,20
260,20010313,54,80,30
260,20010314,41,60,10
260,20010315,15,30,0
260,20010316,33,60,0
260,20010317,44,70,20
260,20010318,25,40,10
260,20010319,44,80,10
260,20010320,33,60,10
260,20010321,48,70,10
260,20010322,22,40,10
260,20010323,38,60,10
260,20010324,36,60,10
260,20010325,55,70,30
260,20010326,36,50,20
260,20010327,56,80,40
260,20010328,58,70,40
260,20010329,23,40,10
260,20010330,26,50,10
260,20010331,48,70,20
260,20010401,32,50,10
260,20010402,35,60,20
260,20010403,49,70,20
260,20010404,65,90,40
260,20010405,62,90,30
260,20010406,58,80,40
260,20010407,44,70,20
260,20010408,29,50,10
260,20010409,33,50,20
260,20010410,38,50,20
260,20010411,46,70,10
260,20010412,37,60,10
260,20010413,41,60,20
260,20010414,34,60,10
260,20010415,45,60,30
260,20010416,38,50,20
260,20010417,39,60,20
260,20010418,49,70,20
260,20010419,38,60,20
260,20010420,21,50,10
260,20010421,35,50,20
260,20010422,17,30,10
260,20010423,18,30,10
260,20010424,39,70,10
260,20010425,35,50,20
260,20010426,56,70,40
260,20010427,32,50,20
260,20010428,47,80,20
260,20010429,37,60,20
260,20010430,29,50,10
260,20010501,58,90,40
260,20010502,48,60,20
260,20010503,28,50,10
260,20010504,40,60,20
260,20010505,56,80,30
260,20010506,52,70,30
260,20010507,51,70,30
260,20010508,36,50,30
260,20010509,41,60,20
260,20010510,45,60,30
260,20010511,32,50,10
260,20010512,32,50,20
260,20010513,25,40,10
260,20010514,24,50,10
260,20010515,30,50,10
260,20010516,47,70,20
260,20010517,66,110,20
260,20010518,40,70,20
260,20010519,31,50,10
260,20010520,22,40,0
260,20010521,42,60,10
260,20010522,40,50,20
260,20010523,35,50,20
260,20010524,38,60,20
260,20010525,28,40,20
260,20010526,23,40,10
260,20010527,40,60,10
260,20010528,45,50,40
260,20010529,42,60,10
260,20010530,14,20,10
260,20010531,38,60,10
260,20010601,33,50,20
260,20010602,46,70,30
260,20010603,48,70,20
260,20010604,30,50,10
260,20010605,26,50,0
260,20010606,39,70,10
260,20010607,53,70,20
260,20010608,32,50,10
260,20010609,10,20,0
260,20010610,19,50,0
260,20010611,33,50,10
260,20010612,22,30,10
260,20010613,20,30,10
260,20010614,23,40,10
260,20010615,26,40,0
260,20010616,22,40,10
260,20010617,24,30,10
260,20010618,35,50,10
260,20010619,16,30,0
260,20010620,30,50,10
260,20010621,30,50,10
260,20010622,38,60,10
260,20010623,17,30,10
260,20010624,20,40,10
260,20010625,35,50,20
260,20010626,38,60,30
260,20010627,42,60,30
260,20010628,40,60,30
260,20010629,32,50,10
260,20010630,28,50,10
260,20010701,33,60,10
260,20010702,16,30,0
260,20010703,40,60,10
260,20010704,52,80,30
260,20010705,38,70,10
260,20010706,28,40,10
260,20010707,30,50,10
260,20010708,38,60,30
260,20010709,33,40,20
260,20010710,43,70,20
260,20010711,78,110,50
260,20010712,49,80,30
260,20010713,35,60,10
260,20010714,18,30,0
260,20010715,19,40,10
260,20010716,16,30,0
260,20010717,38,60,10
260,20010718,46,70,30
260,20010719,33,50,20
260,20010720,33,60,10
260,20010721,37,60,20
260,20010722,25,40,0
