Country;Indicator;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012
;Female researchers as a percentage of total researchers (FTE) - Agricultural sciences;0;0;42.5;43.2;47.5;43.9;45.2;43.5;46.2;47;49.1;50.2;48.2
;Female researchers as a percentage of total researchers (FTE) - Social sciences;0;0;50.5;54.5;51.1;51.6;51.3;54.4;56.2;59.3;58.3;58;58.4
;Female researchers as a percentage of total researchers (FTE) - Humanities;0;0;50.7;55.7;57.2;55.9;56.2;56.7;57.8;55.7;57.1;56.1;57.2
;Female researchers as a percentage of total researchers (FTE) - Not specified fields;0;0;0;0;0;0;0;0;0;0;0;0;0
Cuba;Researchers (FTE) - % Female;0;0;0;0;0;0;0;0;0;0;0;0;0
;Researchers (HC) - % Female;0;0;0;0;0;48.9;49.6;46;48.5;46.6;48.9;48.7;48.4
;Researchers (FTE) - Natural sciences %;0;0;0;0;0;0;0;0;0;0;0;0;0
;Researchers (FTE) - Engineering and technology %;0;0;0;0;0;0;0;0;0;0;0;0;0
;Researchers (FTE) - Medical and health sciences %;0;0;0;0;0;0;0;0;0;0;0;0;0
;Researchers (FTE) - Agricultural sciences %;0;0;0;0;0;0;0;0;0;0;0;0;0
;Researchers (FTE) - Social sciences %;0;0;0;0;0;0;0;0;0;0;0;0;0
;Researchers (FTE) - Humanities %;0;0;0;0;0;0;0;0;0;0;0;0;0
;Researchers (FTE) - Not specified fields %;0;0;0;0;0;0;0;0;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Natural sciences;0;0;0;0;0;0;0;0;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Engineering and technology;0;0;0;0;0;0;0;0;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Medical and health sciences;0;0;0;0;0;0;0;0;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Agricultural sciences;0;0;0;0;0;0;0;0;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Social sciences;0;0;0;0;0;0;0;0;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Humanities;0;0;0;0;0;0;0;0;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Not specified fields;0;0;0;0;0;0;0;0;0;0;0;0;0
Cyprus;Researchers (FTE) - % Female;30;31.5;31.5;32;33.8;35;34;34;34.9;37.6;37.2;37.4;37.5
;Researchers (HC) - % Female;26.3;29.3;29.4;30.9;32.1;32.6;32.2;32.6;33.4;35.6;36;36.9;37.3
;Researchers (FTE) - Natural sciences %;35.3;37.5;42.8;42;43.4;42.5;40.9;36.3;35.5;37.9;37.7;36.4;32.4
;Researchers (FTE) - Engineering and technology %;12.2;11.1;11.5;10.8;11.8;14.5;17.6;20;21;19.5;22.1;22.6;25.9
;Researchers (FTE) - Medical and health sciences %;4.6;5.1;4.4;5.3;4.6;4;4.8;5;6.3;5.6;4.8;5;4.8
;Researchers (FTE) - Agricultural sciences %;11.9;11.7;9.2;8.6;5.3;5;4.1;4.3;4.2;4.5;4.5;4.6;3.9
;Researchers (FTE) - Social sciences %;24.4;24.3;22.5;23.1;23.5;23.3;22.5;25.7;24.2;24.6;23.5;23;20.6
;Researchers (FTE) - Humanities %;11.2;10.2;9.9;10;11.1;10.9;9.9;8.9;9.1;8;7.4;8.5;12.3
;Researchers (FTE) - Not specified fields %;0;0;0;0;0;0;0;0;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Natural sciences;29;33.6;34.9;36.9;37.5;37.6;37.3;36.9;38.8;39.9;39.3;37.2;39.4
;Female researchers as a percentage of total researchers (FTE) - Engineering and technology;16.2;18.9;16;13.2;14.5;17.2;15.9;18.8;17.8;24.1;26;28.5;26.4
;Female researchers as a percentage of total researchers (FTE) - Medical and health sciences;35.7;41.2;31.6;34.6;25.9;18.5;22.2;25;37.3;40.8;34.9;41.3;47.6
;Female researchers as a percentage of total researchers (FTE) - Agricultural sciences;22.2;20.5;17.5;19;12.9;17.6;12.9;20.6;20.6;17.9;24.4;26.2;23.5
;Female researchers as a percentage of total researchers (FTE) - Social sciences;31.1;34.6;34.7;33.6;37.2;39;38.7;40;40;43.3;43.2;43.3;41.4
;Female researchers as a percentage of total researchers (FTE) - Humanities;44.1;38.2;41.9;40.8;47.7;55.4;55.4;49.3;50.7;50;52.2;50;50
;Female researchers as a percentage of total researchers (FTE) - Not specified fields;0;0;0;0;0;0;0;0;0;0;0;0;0
Czech Republic;Researchers (FTE) - % Female;25.6;25.7;26.2;26.1;24.9;26.3;25.3;25.4;25.4;26;25.4;25.1;24.7
;Researchers (HC) - % Female;27.8;28.8;29.5;28.3;28.5;28.8;28.5;28.3;28.5;28.9;28.1;28.2;27.5
;Researchers (FTE) - Natural sciences %;32;27.8;28.5;28.3;29.6;26.8;27.3;24.9;25;23.3;24.4;27.6;29.6
;Researchers (FTE) - Engineering and technology %;44.8;46.8;45;43.2;43.5;42.1;43.2;47.2;48.1;48.1;46.7;46;45.4
;Researchers (FTE) - Medical and health sciences %;6.6;7.1;7.3;8.1;8.1;10.3;9.5;9.4;8.9;9.6;9.7;8.8;7.4
;Researchers (FTE) - Agricultural sciences %;6.7;6.1;6.5;6.6;5.7;6.1;5.6;5.7;5.1;5;5;4.3;3.6
;Researchers (FTE) - Social sciences %;2.2;2.7;7.1;7.2;6.8;8;7.8;6.8;6.8;6.8;6.1;7.7;7.2
;Researchers (FTE) - Humanities %;7.7;9.4;5.6;6.5;6.2;6.8;6.5;6;6.2;7.2;8.1;5.7;6.8
;Researchers (FTE) - Not specified fields %;0;0;0;0;0;0;0;0;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Natural sciences;29.1;27.4;27.2;26.2;26;26.4;26.4;27.1;27.9;28.5;26.6;27.8;27
;Female researchers as a percentage of total researchers (FTE) - Engineering and technology;14.4;15.1;14.4;14.7;13.8;14;12.3;13.9;13.8;13.8;12.6;12.6;12.6
;Female researchers as a percentage of total researchers (FTE) - Medical and health sciences;43.2;44.2;49.9;45.3;44.9;46.7;48.5;48.2;48.9;49.8;51;50.2;52.3
;Female researchers as a percentage of total researchers (FTE) - Agricultural sciences;43.1;42.5;45.8;43.9;38.3;39.9;40.2;39.4;41.5;42.5;40;42.3;34
;Female researchers as a percentage of total researchers (FTE) - Social sciences;38.6;37.1;43.2;42.5;40.6;41.7;41.8;41.9;42.4;41.5;41.7;41.3;40.9
;Female researchers as a percentage of total researchers (FTE) - Humanities;42.4;45.3;40.1;41.3;40.6;40.5;40.3;41.4;39.3;41.9;43.9;38.8;43.9
;Female researchers as a percentage of total researchers (FTE) - Not specified fields;0;0;0;0;0;0;0;0;0;0;0;0;0
Democratic Republic of the Congo;Researchers (FTE) - % Female;0;0;0;0;0;0;0;0;0;0;0;0;0
;Researchers (HC) - % Female;0;0;0;0;0;0;0;0;0;0;0;0;0
;Researchers (FTE) - Natural sciences %;0;0;0;0;0;0;0;0;0;0;0;0;0
;Researchers (FTE) - Engineering and technology %;0;0;0;0;0;0;0;0;0;0;0;0;0
;Researchers (FTE) - Medical and health sciences %;0;0;0;0;0;0;0;0;0;0;0;0;0
;Researchers (FTE) - Agricultural sciences %;0;0;0;0;0;0;0;0;0;0;0;0;0
;Researchers (FTE) - Social sciences %;0;0;0;0;0;0;0;0;0;0;0;0;0
;Researchers (FTE) - Humanities %;0;0;0;0;0;0;0;0;0;0;0;0;0
;Researchers (FTE) - Not specified fields %;0;0;0;0;0;0;0;0;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Natural sciences;0;0;0;0;0;0;0;0;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Engineering and technology;0;0;0;0;0;0;0;0;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Medical and health sciences;0;0;0;0;0;0;0;0;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Agricultural sciences;0;0;0;0;0;0;0;0;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Social sciences;0;0;0;0;0;0;0;0;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Humanities;0;0;0;0;0;0;0;0;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Not specified fields;0;0;0;0;0;0;0;0;0;0;0;0;0
Denmark;Researchers (FTE) - % Female;0;28.6;26.6;27.8;0;28.8;0;29.3;0;29.8;31.1;31.6;0
;Researchers (HC) - % Female;0;28;26.2;28.1;0;29.7;0;30.2;0;31.7;32.6;33.1;34.8
;Researchers (FTE) - Natural sciences %;0;0;0;0;0;0;0;0;0;0;0;0;0
;Researchers (FTE) - Engineering and technology %;0;0;0;0;0;0;0;0;0;0;0;0;0
;Researchers (FTE) - Medical and health sciences %;0;0;0;0;0;0;0;0;0;0;0;0;0
;Researchers (FTE) - Agricultural sciences %;0;0;0;0;0;0;0;0;0;0;0;0;0
;Researchers (FTE) - Social sciences %;0;0;0;0;0;0;0;0;0;0;0;0;0
;Researchers (FTE) - Humanities %;0;0;0;0;0;0;0;0;0;0;0;0;0
;Researchers (FTE) - Not specified fields %;0;0;0;0;0;0;0;0;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Natural sciences;0;0;0;0;0;0;0;0;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Engineering and technology;0;0;0;0;0;0;0;0;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Medical and health sciences;0;0;0;0;0;0;0;0;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Agricultural sciences;0;0;0;0;0;0;0;0;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Social sciences;0;0;0;0;0;0;0;0;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Humanities;0;0;0;0;0;0;0;0;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Not specified fields;0;0;0;0;0;0;0;0;0;0;0;0;0
Ecuador;Researchers (FTE) - % Female;0;0;0;0;0;0;0;0;0;39.8;40.5;39.3;0
;Researchers (HC) - % Female;0;24.2;23;28.5;0;0;41.5;44.9;44;39;38.2;37.4;0
;Researchers (FTE) - Natural sciences %;0;25.7;24.2;24.3;0;0;0;0;0;19.9;17.8;17.1;0
;Researchers (FTE) - Engineering and technology %;0;25.3;24.2;24.7;0;0;0;0;0;19.6;21.2;19.8;0
;Researchers (FTE) - Medical and health sciences %;0;7;7.8;9.3;0;0;0;0;0;10.1;12.5;10.7;0
;Researchers (FTE) - Agricultural sciences %;0;32.7;32.5;31.9;0;0;0;0;0;14.6;12.8;12;0
;Researchers (FTE) - Social sciences %;0;8.4;10.5;9.1;0;0;0;0;0;26.5;28;33.3;0
;Researchers (FTE) - Humanities %;0;1.2;0.7;0.6;0;0;0;0;0;9.2;7.7;7.1;0
;Researchers (FTE) - Not specified fields %;0;0;0;0;0;0;0;0;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Natural sciences;0;0;0;0;0;0;0;0;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Engineering and technology;0;0;0;0;0;0;0;0;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Medical and health sciences;0;0;0;0;0;0;0;0;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Agricultural sciences;0;0;0;0;0;0;0;0;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Social sciences;0;0;0;0;0;0;0;0;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Humanities;0;0;0;0;0;0;0;0;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Not specified fields;0;0;0;0;0;0;0;0;0;0;0;0;0
Egypt;Researchers (FTE) - % Female;0;0;0;0;0;0;0;36;36;36;41.6;41.9;43.8
;Researchers (HC) - % Female;0;0;0;0;0;0;0;36.2;36;37.3;41.7;42.3;41.6
;Researchers (FTE) - Natural sciences %;0;0;0;0;0;0;0;0;0;0;0;5.2;0
;Researchers (FTE) - Engineering and technology %;0;0;0;0;0;0;0;0;0;0;0;5;0
;Researchers (FTE) - Medical and health sciences %;0;0;0;0;0;0;0;0;0;0;0;18;0
;Researchers (FTE) - Agricultural sciences %;0;0;0;0;0;0;0;0;0;0;0;4;0
;Researchers (FTE) - Social sciences %;0;0;0;0;0;0;0;0;0;0;0;10.4;0
;Researchers (FTE) - Humanities %;0;0;0;0;0;0;0;0;0;0;0;5.3;0
;Researchers (FTE) - Not specified fields %;0;0;0;0;0;0;0;0;0;0;0;52.2;0
;Female researchers as a percentage of total researchers (FTE) - Natural sciences;0;0;0;0;0;0;0;0;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Engineering and technology;0;0;0;0;0;0;0;0;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Medical and health sciences;0;0;0;0;0;0;0;0;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Agricultural sciences;0;0;0;0;0;0;0;0;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Social sciences;0;0;0;0;0;0;0;0;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Humanities;0;0;0;0;0;0;0;0;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Not specified fields;0;0;0;0;0;0;0;0;0;0;0;0;0
El Salvador;Researchers (FTE) - % Female;0;0;0;0;0;0;0;0;0;0;0;0;0
;Researchers (HC) - % Female;0;0;0;31;31;31.2;31.2;31;32.9;35.2;36.8;37.1;38.2
;Researchers (FTE) - Natural sciences %;0;0;0;0;0;0;0;0;0;0;0;0;0
;Researchers (FTE) - Engineering and technology %;0;0;0;0;0;0;0;0;0;0;0;0;0
;Researchers (FTE) - Medical and health sciences %;0;0;0;0;0;0;0;0;0;0;0;0;0
;Researchers (FTE) - Agricultural sciences %;0;0;0;0;0;0;0;0;0;0;0;0;0
;Researchers (FTE) - Social sciences %;0;0;0;0;0;0;0;0;0;0;0;0;0
;Researchers (FTE) - Humanities %;0;0;0;0;0;0;0;0;0;0;0;0;0
;Researchers (FTE) - Not specified fields %;0;0;0;0;0;0;0;0;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Natural sciences;0;0;0;0;0;0;0;0;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Engineering and technology;0;0;0;0;0;0;0;0;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Medical and health sciences;0;0;0;0;0;0;0;0;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Agricultural sciences;0;0;0;0;0;0;0;0;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Social sciences;0;0;0;0;0;0;0;0;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Humanities;0;0;0;0;0;0;0;0;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Not specified fields;0;0;0;0;0;0;0;0;0;0;0;0;0
Estonia;Researchers (FTE) - % Female;41.6;42;41.3;42.2;41.3;39.5;40.4;41.5;37.9;41.6;41.4;41.4;42.8
;Researchers (HC) - % Female;43.1;43.3;42.6;43.1;42.5;40.8;42.4;44.3;41.7;42.5;43.4;43.7;44
;Researchers (FTE) - Natural sciences %;32.2;30.8;28.1;26.2;28.9;26.1;26.6;27.3;26.3;26.9;26;24.1;26.1
;Researchers (FTE) - Engineering and technology %;16.2;14.7;18.6;17.6;15.3;15.1;15.2;14.7;13.7;10.3;11.5;9.8;10.6
;Researchers (FTE) - Medical and health sciences %;8;6.6;5.8;6.1;5.6;5.1;4.6;4.9;4.6;5.4;5.7;5.5;5.5
;Researchers (FTE) - Agricultural sciences %;7.2;7;5.6;5.3;4.5;4.2;4.2;3.8;3.5;3.5;4;3.9;3.3
;Researchers (FTE) - Social sciences %;12.9;11.4;12.8;12.9;13;10.1;10.4;9.3;9.4;11;9.8;10.6;11.1
;Researchers (FTE) - Humanities %;13.1;14.2;14.1;15.2;13.1;12.9;13.9;14;11.4;12.4;11.5;12.7;12.4
;Researchers (FTE) - Not specified fields %;10.3;15.3;15.2;16.7;19.6;26.5;24.9;26;31;30.4;31.4;33.3;31
;Female researchers as a percentage of total researchers (FTE) - Natural sciences;32.6;34.2;35.5;39.6;37.4;37.1;37.3;38;36.7;38.2;38.4;37.8;37.8
;Female researchers as a percentage of total researchers (FTE) - Engineering and technology;25;30.4;26.4;24.1;22.8;23.3;26;25.6;28.5;28.5;28.7;24.5;32.9
;Female researchers as a percentage of total researchers (FTE) - Medical and health sciences;62.1;59.1;64.8;66.3;64.6;65.9;64.4;63.7;66.5;68.5;71.2;68;70
;Female researchers as a percentage of total researchers (FTE) - Agricultural sciences;45.6;44.4;49.7;45.9;46.1;51.8;49.7;49.6;50;46.1;48.5;53.4;49
;Female researchers as a percentage of total researchers (FTE) - Social sciences;52.2;54.9;52.9;52.6;57.9;54.9;58.9;57.4;56.9;61.4;59.1;58.5;62.3
;Female researchers as a percentage of total researchers (FTE) - Humanities;66;66.1;67.7;68.3;69.3;64.9;63.7;65.5;64.2;63.9;64.3;64.9;64.8
;Female researchers as a percentage of total researchers (FTE) - Not specified fields;32.5;28.2;23.7;23.8;23.9;25.9;25.6;30.2;22.1;27.6;28.2;28.8;29.3
Ethiopia;Researchers (FTE) - % Female;0;0;0;0;0;6.9;0;7.7;0;0;0;0;0
;Researchers (HC) - % Female;0;0;0;0;0;6.3;0;7.4;0;0;7.6;0;0
;Researchers (FTE) - Natural sciences %;0;0;0;0;0;15;0;11.5;0;0;12.2;0;0
;Researchers (FTE) - Engineering and technology %;0;0;0;0;0;4.7;0;3.8;0;0;5.6;0;0
;Researchers (FTE) - Medical and health sciences %;0;0;0;0;0;2.4;0;5.1;0;0;21.1;0;0
;Researchers (FTE) - Agricultural sciences %;0;0;0;0;0;69.2;0;74.7;0;0;27.2;0;0
;Researchers (FTE) - Social sciences %;0;0;0;0;0;6.1;0;4.3;0;0;20.4;0;0
;Researchers (FTE) - Humanities %;0;0;0;0;0;1.7;0;0.7;0;0;1.1;0;0
;Researchers (FTE) - Not specified fields %;0;0;0;0;0;0.9;0;0;0;0;12.3;0;0
;Female researchers as a percentage of total researchers (FTE) - Natural sciences;0;0;0;0;0;7.9;0;10.8;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Engineering and technology;0;0;0;0;0;3.9;0;3.3;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Medical and health sciences;0;0;0;0;0;15.8;0;18.3;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Agricultural sciences;0;0;0;0;0;5.7;0;6.7;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Social sciences;0;0;0;0;0;7.1;0;8.6;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Humanities;0;0;0;0;0;22.2;0;9.1;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Not specified fields;0;0;0;0;0;46.7;0;0;0;0;0;0;0
Faeroe Islands;Researchers (FTE) - % Female;0;0;0;24.4;0;0;0;0;0;0;0;0;0
;Researchers (HC) - % Female;0;0;0;23.1;0;0;0;0;0;0;0;0;0
;Researchers (FTE) - Natural sciences %;0;0;0;38.4;0;0;0;0;0;0;0;0;0
;Researchers (FTE) - Engineering and technology %;0;0;0;0;0;0;0;0;0;0;0;0;0
;Researchers (FTE) - Medical and health sciences %;0;0;0;2.3;0;0;0;0;0;0;0;0;0
;Researchers (FTE) - Agricultural sciences %;0;0;0;3.5;0;0;0;0;0;0;0;0;0
;Researchers (FTE) - Social sciences %;0;0;0;9.3;0;0;0;0;0;0;0;0;0
;Researchers (FTE) - Humanities %;0;0;0;8.1;0;0;0;0;0;0;0;0;0
;Researchers (FTE) - Not specified fields %;0;0;0;38.4;0;0;0;0;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Natural sciences;0;0;0;39.4;0;0;0;0;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Engineering and technology;0;0;0;0;0;0;0;0;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Medical and health sciences;0;0;0;0;0;0;0;0;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Agricultural sciences;0;0;0;33.3;0;0;0;0;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Social sciences;0;0;0;12.5;0;0;0;0;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Humanities;0;0;0;28.6;0;0;0;0;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Not specified fields;0;0;0;12.1;0;0;0;0;0;0;0;0;0
Finland;Researchers (FTE) - % Female;0;0;0;0;0;0;0;0;0;0;0;0;0
;Researchers (HC) - % Female;28.5;29.1;29.9;29.8;29;30.2;31.6;31.5;30.7;31.4;31.9;32.1;32.2
;Researchers (FTE) - Natural sciences %;0;0;0;0;0;0;0;0;0;0;0;0;0
;Researchers (FTE) - Engineering and technology %;0;0;0;0;0;0;0;0;0;0;0;0;0
;Researchers (FTE) - Medical and health sciences %;0;0;0;0;0;0;0;0;0;0;0;0;0
;Researchers (FTE) - Agricultural sciences %;0;0;0;0;0;0;0;0;0;0;0;0;0
;Researchers (FTE) - Social sciences %;0;0;0;0;0;0;0;0;0;0;0;0;0
;Researchers (FTE) - Humanities %;0;0;0;0;0;0;0;0;0;0;0;0;0
;Researchers (FTE) - Not specified fields %;0;0;0;0;0;0;0;0;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Natural sciences;0;0;0;0;0;0;0;0;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Engineering and technology;0;0;0;0;0;0;0;0;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Medical and health sciences;0;0;0;0;0;0;0;0;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Agricultural sciences;0;0;0;0;0;0;0;0;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Social sciences;0;0;0;0;0;0;0;.;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Humanities;0;0;0;0;0;0;0;0;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Not specified fields;0;0;0;0;0;0;0;0;0;0;0;0;0
France;Researchers (FTE) - % Female;0;0;0;0;0;0;0;0;0;0;1.9;26;26
;Researchers (HC) - % Female;2.5;2.5;2.8;2.8;2.8;28;2.4;2.8;2.4;2.9;2.3;2.6;2.6
;Researchers (FTE) - Natural sciences %;0;0;0;0;0;0;0;0;0;0;0;0;0
;Researchers (FTE) - Engineering and technology %;0;0;0;0;0;0;0;0;0;0;0;0;0
;Researchers (FTE) - Medical and health sciences %;0;0;0;0;0;0;0;0;0;0;0;0;0
;Researchers (FTE) - Agricultural sciences %;0;0;0;0;0;0;0;0;0;0;0;0;0
;Researchers (FTE) - Social sciences %;0;0;0;0;0;0;0;0;0;0;0;0;0
;Researchers (FTE) - Humanities %;0;0;0;0;0;0;0;0;0;0;0;0;0
;Researchers (FTE) - Not specified fields %;0;0;0;0;0;0;0;0;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Natural sciences;0;0;0;0;0;0;0;0;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Engineering and technology;0;0;0;0;0;0;0;0;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Medical and health sciences;0;0;0;0;0;0;0;0;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Agricultural sciences;0;0;0;0;0;0;0;0;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Social sciences;0;0;0;0;0;0;0;0;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Humanities;0;0;0;0;0;0;0;0;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Not specified fields;0;0;0;0;0;0;0;0;0;0;0;0;0
Gabon;Researchers (FTE) - % Female;0;0;0;0;0;0;0;0;0;0;0;0;0
;Researchers (HC) - % Female;0;0;0;0;3.3;0;2.7;0;0;2.4;0;0;0
;Researchers (FTE) - Natural sciences %;0;0;0;0;0;0;0;0;0;0;0;0;0
;Researchers (FTE) - Engineering and technology %;0;0;0;0;0;0;0;0;0;0;0;0;0
;Researchers (FTE) - Medical and health sciences %;0;0;0;0;0;0;0;0;0;0;0;0;0
;Researchers (FTE) - Agricultural sciences %;0;0;0;0;0;0;0;0;0;0;0;0;0
;Researchers (FTE) - Social sciences %;0;0;0;0;0;0;0;0;0;0;0;0;0
;Researchers (FTE) - Humanities %;0;0;0;0;0;0;0;0;0;0;0;0;0
;Researchers (FTE) - Not specified fields %;0;0;0;0;0;0;0;0;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Natural sciences;0;0;0;0;0;0;0;0;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Engineering and technology;0;0;0;0;0;0;0;0;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Medical and health sciences;0;0;0;0;0;0;0;0;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Agricultural sciences;0;0;0;0;0;0;0;0;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Social sciences;0;0;0;0;0;0;0;0;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Humanities;0;0;0;0;0;0;0;0;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Not specified fields;0;0;0;0;0;0;0;0;0;0;0;0;0
Gambia;Researchers (FTE) - % Female;0;0;0;0;0;0;0;0;20;0;0;2.5;0
;Researchers (HC) - % Female;0;0;0;0;.8;.7;0;0;20;0;0;20;0
;Researchers (FTE) - Natural sciences %;0;0;0;0;0;0;0;0;0;0;0;0;0
;Researchers (FTE) - Engineering and technology %;0;0;0;0;0;0;0;0;0;0;0;0;0
;Researchers (FTE) - Medical and health sciences %;0;0;0;0;0;0;0;0;0;8.4;0;41;0
;Researchers (FTE) - Agricultural sciences %;0;0;0;0;0;0;0;0;0;.7;0;59;0
;Researchers (FTE) - Social sciences %;0;0;0;0;0;0;0;0;0;.9;0;0;0
;Researchers (FTE) - Humanities %;0;0;0;0;0;0;0;0;0;0;0;0;0
;Researchers (FTE) - Not specified fields %;0;0;0;0;0;0;0;0;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Natural sciences;0;0;0;0;0;0;0;0;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Engineering and technology;0;0;0;0;0;0;0;0;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Medical and health sciences;0;0;0;0;0;0;0;0;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Agricultural sciences;0;0;0;0;0;0;0;0;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Social sciences;0;0;0;0;0;0;0;0;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Humanities;0;0;0;0;0;0;0;0;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Not specified fields;0;0;0;0;0;0;0;0;0;0;0;0;0
Georgia;Researchers (FTE) - % Female;0;0;0;0;0;0;0;0;0;0;0;0;0
;Researchers (HC) - % Female;0;5.6;5.4;5.2;5.9;5.7;0;0;0;0;0;0;0
;Researchers (FTE) - Natural sciences %;0;0;0;0;0;0;0;0;0;0;0;0;0
;Researchers (FTE) - Engineering and technology %;0;0;0;0;0;0;0;0;0;0;0;0;0
;Researchers (FTE) - Medical and health sciences %;0;0;0;0;0;0;0;0;0;0;0;0;0
;Researchers (FTE) - Agricultural sciences %;0;0;0;0;0;0;0;0;0;0;0;0;0
;Researchers (FTE) - Social sciences %;0;0;0;0;0;0;0;0;0;0;0;0;0
;Researchers (FTE) - Humanities %;0;0;0;0;0;0;0;0;0;0;0;0;0
;Researchers (FTE) - Not specified fields %;0;0;0;0;0;0;0;0;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Natural sciences;0;0;0;0;0;0;0;0;0;0;0;0;0
