"INDICATOR","Indicator","LOCATION","Country","TIME","Time","Value"
"20000","Total R&D personnel (FTE) - Total ","FIN","Finland","2004","2004",58281
"20000","Total R&D personnel (FTE) - Total ","FIN","Finland","2005","2005",57471
"20000","Total R&D personnel (FTE) - Total ","FIN","Finland","2006","2006",58257
"20000","Total R&D personnel (FTE) - Total ","FIN","Finland","2007","2007",56243
"20000","Total R&D personnel (FTE) - Total ","FIN","Finland","2008","2008",56698
"20000","Total R&D personnel (FTE) - Total ","FIN","Finland","2009","2009",56069
"20000","Total R&D personnel (FTE) - Total ","FIN","Finland","2010","2010",55897
"20000","Total R&D personnel (FTE) - Total ","FIN","Finland","2011","2011",54526
"20000","Total R&D personnel (FTE) - Total ","FIN","Finland","2012","2012",54047
"20000","Total R&D personnel (FTE) - Total ","FIN","Finland","2013","2013",52972
"20000","Total R&D personnel (FTE) - Total ","FRA","France","1996","1996",320805
"20000","Total R&D personnel (FTE) - Total ","FRA","France","1997","1997",306178
"20000","Total R&D personnel (FTE) - Total ","FRA","France","1998","1998",309161
"20000","Total R&D personnel (FTE) - Total ","FRA","France","1999","1999",314452
"20000","Total R&D personnel (FTE) - Total ","FRA","France","2000","2000",327466
"20000","Total R&D personnel (FTE) - Total ","FRA","France","2001","2001",333518
"20000","Total R&D personnel (FTE) - Total ","FRA","France","2002","2002",339847
"20000","Total R&D personnel (FTE) - Total ","FRA","France","2003","2003",342307
"20000","Total R&D personnel (FTE) - Total ","FRA","France","2004","2004",352003
"20000","Total R&D personnel (FTE) - Total ","FRA","France","2005","2005",349681
"20000","Total R&D personnel (FTE) - Total ","FRA","France","2006","2006",365814
"20000","Total R&D personnel (FTE) - Total ","FRA","France","2007","2007",375235
"20000","Total R&D personnel (FTE) - Total ","FRA","France","2008","2008",382653
"20000","Total R&D personnel (FTE) - Total ","FRA","France","2009","2009",390214
"20000","Total R&D personnel (FTE) - Total ","FRA","France","2010","2010",397756
"20000","Total R&D personnel (FTE) - Total ","FRA","France","2011","2011",402492
"20000","Total R&D personnel (FTE) - Total ","FRA","France","2012","2012",412003
"20000","Total R&D personnel (FTE) - Total ","FRA","France","2013","2013",420588
"20000","Total R&D personnel (FTE) - Total ","DEU","Germany","1996","1996",453679
"20000","Total R&D personnel (FTE) - Total ","DEU","Germany","1997","1997",460411
"20000","Total R&D personnel (FTE) - Total ","DEU","Germany","1998","1998",461539
"20000","Total R&D personnel (FTE) - Total ","DEU","Germany","1999","1999",479599
"20000","Total R&D personnel (FTE) - Total ","DEU","Germany","2000","2000",484734
"20000","Total R&D personnel (FTE) - Total ","DEU","Germany","2001","2001",480606
"20000","Total R&D personnel (FTE) - Total ","DEU","Germany","2002","2002",480004
"20000","Total R&D personnel (FTE) - Total ","DEU","Germany","2003","2003",472533
"20000","Total R&D personnel (FTE) - Total ","DEU","Germany","2004","2004",470729
"20000","Total R&D personnel (FTE) - Total ","DEU","Germany","2005","2005",475278
"20000","Total R&D personnel (FTE) - Total ","DEU","Germany","2006","2006",487935
"20000","Total R&D personnel (FTE) - Total ","DEU","Germany","2007","2007",506450
"20000","Total R&D personnel (FTE) - Total ","DEU","Germany","2008","2008",523505
"20000","Total R&D personnel (FTE) - Total ","DEU","Germany","2009","2009",534975
"20000","Total R&D personnel (FTE) - Total ","DEU","Germany","2010","2010",548723
"20000","Total R&D personnel (FTE) - Total ","DEU","Germany","2011","2011",575099
"20000","Total R&D personnel (FTE) - Total ","DEU","Germany","2012","2012",591261
"20000","Total R&D personnel (FTE) - Total ","DEU","Germany","2013","2013",603500
"20000","Total R&D personnel (FTE) - Total ","GRC","Greece","1997","1997",20158
"20000","Total R&D personnel (FTE) - Total ","GRC","Greece","1999","1999",26382
"20000","Total R&D personnel (FTE) - Total ","GRC","Greece","2001","2001",30226
"20000","Total R&D personnel (FTE) - Total ","GRC","Greece","2003","2003",31849
"20000","Total R&D personnel (FTE) - Total ","GRC","Greece","2005","2005",33603
"20000","Total R&D personnel (FTE) - Total ","GRC","Greece","2006","2006",35140
"20000","Total R&D personnel (FTE) - Total ","GRC","Greece","2007","2007",35531
"20000","Total R&D personnel (FTE) - Total ","GRC","Greece","2011","2011",36913
"20000","Total R&D personnel (FTE) - Total ","GRC","Greece","2012","2012",37361
"20000","Total R&D personnel (FTE) - Total ","GRC","Greece","2013","2013",42030
"20000","Total R&D personnel (FTE) - Total ","HUN","Hungary","1996","1996",19776
"20000","Total R&D personnel (FTE) - Total ","HUN","Hungary","1997","1997",20758
"20000","Total R&D personnel (FTE) - Total ","HUN","Hungary","1998","1998",20315
"20000","Total R&D personnel (FTE) - Total ","HUN","Hungary","1999","1999",21329
"20000","Total R&D personnel (FTE) - Total ","HUN","Hungary","2000","2000",23534
"20000","Total R&D personnel (FTE) - Total ","HUN","Hungary","2001","2001",22942
"20000","Total R&D personnel (FTE) - Total ","HUN","Hungary","2002","2002",23703
"20000","Total R&D personnel (FTE) - Total ","HUN","Hungary","2003","2003",23311
"20000","Total R&D personnel (FTE) - Total ","HUN","Hungary","2004","2004",22826
"20000","Total R&D personnel (FTE) - Total ","HUN","Hungary","2005","2005",23239
"20000","Total R&D personnel (FTE) - Total ","HUN","Hungary","2006","2006",25971
"20000","Total R&D personnel (FTE) - Total ","HUN","Hungary","2007","2007",25954
"20000","Total R&D personnel (FTE) - Total ","HUN","Hungary","2008","2008",27403
"20000","Total R&D personnel (FTE) - Total ","HUN","Hungary","2009","2009",29795
"20000","Total R&D personnel (FTE) - Total ","HUN","Hungary","2010","2010",31480
"20000","Total R&D personnel (FTE) - Total ","HUN","Hungary","2011","2011",33960
"20000","Total R&D personnel (FTE) - Total ","HUN","Hungary","2012","2012",35732
"20000","Total R&D personnel (FTE) - Total ","HUN","Hungary","2013","2013",38163
"20000","Total R&D personnel (FTE) - Total ","ISL","Iceland","1997","1997",2150
"20000","Total R&D personnel (FTE) - Total ","ISL","Iceland","1998","1998",2273
"20000","Total R&D personnel (FTE) - Total ","ISL","Iceland","1999","1999",2390
"20000","Total R&D personnel (FTE) - Total ","ISL","Iceland","2001","2001",2901
"20000","Total R&D personnel (FTE) - Total ","ISL","Iceland","2002","2002",2797
"20000","Total R&D personnel (FTE) - Total ","ISL","Iceland","2003","2003",2940
"20000","Total R&D personnel (FTE) - Total ","ISL","Iceland","2005","2005",3226
"20000","Total R&D personnel (FTE) - Total ","ISL","Iceland","2006","2006",3415
"20000","Total R&D personnel (FTE) - Total ","ISL","Iceland","2007","2007",2982
"20000","Total R&D personnel (FTE) - Total ","ISL","Iceland","2008","2008",3117
"20000","Total R&D personnel (FTE) - Total ","ISL","Iceland","2009","2009",3397
"20000","Total R&D personnel (FTE) - Total ","ISL","Iceland","2011","2011",3244
"20000","Total R&D personnel (FTE) - Total ","IRL","Ireland","1996","1996",9999
"20000","Total R&D personnel (FTE) - Total ","IRL","Ireland","1997","1997",10826
"20000","Total R&D personnel (FTE) - Total ","IRL","Ireland","1998","1998",11613
"20000","Total R&D personnel (FTE) - Total ","IRL","Ireland","1999","1999",11929
"20000","Total R&D personnel (FTE) - Total ","IRL","Ireland","2000","2000",12762
"20000","Total R&D personnel (FTE) - Total ","IRL","Ireland","2001","2001",13317
"20000","Total R&D personnel (FTE) - Total ","IRL","Ireland","2002","2002",13582
"20000","Total R&D personnel (FTE) - Total ","IRL","Ireland","2003","2003",14450
"20000","Total R&D personnel (FTE) - Total ","IRL","Ireland","2004","2004",15713
"20000","Total R&D personnel (FTE) - Total ","IRL","Ireland","2005","2005",16690
"20000","Total R&D personnel (FTE) - Total ","IRL","Ireland","2006","2006",17444
"20000","Total R&D personnel (FTE) - Total ","IRL","Ireland","2007","2007",18157
"20000","Total R&D personnel (FTE) - Total ","IRL","Ireland","2008","2008",20018
"20000","Total R&D personnel (FTE) - Total ","IRL","Ireland","2009","2009",19705
"20000","Total R&D personnel (FTE) - Total ","IRL","Ireland","2010","2010",19722
"20000","Total R&D personnel (FTE) - Total ","IRL","Ireland","2011","2011",21560
"20000","Total R&D personnel (FTE) - Total ","IRL","Ireland","2012","2012",22501
"20000","Total R&D personnel (FTE) - Total ","ITA","Italy","1996","1996",142288
"20000","Total R&D personnel (FTE) - Total ","ITA","Italy","1998","1998",145968
"20000","Total R&D personnel (FTE) - Total ","ITA","Italy","1999","1999",142506
"20000","Total R&D personnel (FTE) - Total ","ITA","Italy","2000","2000",150066
"20000","Total R&D personnel (FTE) - Total ","ITA","Italy","2001","2001",153905
"20000","Total R&D personnel (FTE) - Total ","ITA","Italy","2002","2002",164023
"20000","Total R&D personnel (FTE) - Total ","ITA","Italy","2003","2003",161828
"20000","Total R&D personnel (FTE) - Total ","ITA","Italy","2004","2004",164026
"20000","Total R&D personnel (FTE) - Total ","ITA","Italy","2005","2005",175248
"20000","Total R&D personnel (FTE) - Total ","ITA","Italy","2006","2006",192002
"20000","Total R&D personnel (FTE) - Total ","ITA","Italy","2007","2007",208376
"20000","Total R&D personnel (FTE) - Total ","ITA","Italy","2008","2008",221115
"20000","Total R&D personnel (FTE) - Total ","ITA","Italy","2009","2009",226527
"20000","Total R&D personnel (FTE) - Total ","ITA","Italy","2010","2010",225632
"20000","Total R&D personnel (FTE) - Total ","ITA","Italy","2011","2011",228094
"20000","Total R&D personnel (FTE) - Total ","ITA","Italy","2012","2012",240179
"20000","Total R&D personnel (FTE) - Total ","ITA","Italy","2013","2013",252648
"20000","Total R&D personnel (FTE) - Total ","JPN","Japan","1996","1996",891783
"20000","Total R&D personnel (FTE) - Total ","JPN","Japan","1997","1997",894003
"20000","Total R&D personnel (FTE) - Total ","JPN","Japan","1998","1998",925569
"20000","Total R&D personnel (FTE) - Total ","JPN","Japan","1999","1999",919132
"20000","Total R&D personnel (FTE) - Total ","JPN","Japan","2000","2000",896847
"20000","Total R&D personnel (FTE) - Total ","JPN","Japan","2001","2001",869180
"20000","Total R&D personnel (FTE) - Total ","JPN","Japan","2002","2002",833788
"20000","Total R&D personnel (FTE) - Total ","JPN","Japan","2003","2003",859453
"20000","Total R&D personnel (FTE) - Total ","JPN","Japan","2004","2004",872752
"20000","Total R&D personnel (FTE) - Total ","JPN","Japan","2005","2005",896855
"20000","Total R&D personnel (FTE) - Total ","JPN","Japan","2006","2006",910375
"20000","Total R&D personnel (FTE) - Total ","JPN","Japan","2007","2007",912202
"20000","Total R&D personnel (FTE) - Total ","JPN","Japan","2008","2008",882739
"20000","Total R&D personnel (FTE) - Total ","JPN","Japan","2009","2009",878418
"20000","Total R&D personnel (FTE) - Total ","JPN","Japan","2010","2010",877928
"20000","Total R&D personnel (FTE) - Total ","JPN","Japan","2011","2011",869825
"20000","Total R&D personnel (FTE) - Total ","JPN","Japan","2012","2012",851132
"20000","Total R&D personnel (FTE) - Total ","JPN","Japan","2013","2013",865523
"20000","Total R&D personnel (FTE) - Total ","KOR","Republic of Korea","1996","1996",135703
"20000","Total R&D personnel (FTE) - Total ","KOR","Republic of Korea","1997","1997",136559
"20000","Total R&D personnel (FTE) - Total ","KOR","Republic of Korea","1998","1998",128669
"20000","Total R&D personnel (FTE) - Total ","KOR","Republic of Korea","1999","1999",137874
"20000","Total R&D personnel (FTE) - Total ","KOR","Republic of Korea","2000","2000",138077
"20000","Total R&D personnel (FTE) - Total ","KOR","Republic of Korea","2001","2001",165715
"20000","Total R&D personnel (FTE) - Total ","KOR","Republic of Korea","2002","2002",172270
"20000","Total R&D personnel (FTE) - Total ","KOR","Republic of Korea","2003","2003",186215
"20000","Total R&D personnel (FTE) - Total ","KOR","Republic of Korea","2004","2004",194054
"20000","Total R&D personnel (FTE) - Total ","KOR","Republic of Korea","2005","2005",215345
"20000","Total R&D personnel (FTE) - Total ","KOR","Republic of Korea","2006","2006",237599
"20000","Total R&D personnel (FTE) - Total ","KOR","Republic of Korea","2007","2007",269409
"20000","Total R&D personnel (FTE) - Total ","KOR","Republic of Korea","2008","2008",294440
"20000","Total R&D personnel (FTE) - Total ","KOR","Republic of Korea","2009","2009",309063
"20000","Total R&D personnel (FTE) - Total ","KOR","Republic of Korea","2010","2010",335228
"20000","Total R&D personnel (FTE) - Total ","KOR","Republic of Korea","2011","2011",361374
"20000","Total R&D personnel (FTE) - Total ","KOR","Republic of Korea","2012","2012",395990
"20000","Total R&D personnel (FTE) - Total ","KOR","Republic of Korea","2013","2013",401444
"20000","Total R&D personnel (FTE) - Total ","LUX","Luxembourg","2000","2000",3663
"20000","Total R&D personnel (FTE) - Total ","LUX","Luxembourg","2003","2003",4010
"20000","Total R&D personnel (FTE) - Total ","LUX","Luxembourg","2004","2004",4318
"20000","Total R&D personnel (FTE) - Total ","LUX","Luxembourg","2005","2005",4392
"20000","Total R&D personnel (FTE) - Total ","LUX","Luxembourg","2006","2006",4377
"20000","Total R&D personnel (FTE) - Total ","LUX","Luxembourg","2007","2007",4605
"20000","Total R&D personnel (FTE) - Total ","LUX","Luxembourg","2008","2008",4652
"20000","Total R&D personnel (FTE) - Total ","LUX","Luxembourg","2009","2009",4711
"20000","Total R&D personnel (FTE) - Total ","LUX","Luxembourg","2010","2010",4988
"20000","Total R&D personnel (FTE) - Total ","LUX","Luxembourg","2011","2011",5351
"20000","Total R&D personnel (FTE) - Total ","LUX","Luxembourg","2012","2012",4880
"20000","Total R&D personnel (FTE) - Total ","LUX","Luxembourg","2013","2013",5003
"20000","Total R&D personnel (FTE) - Total ","MEX","Mexico","1996","1996",33919
"20000","Total R&D personnel (FTE) - Total ","MEX","Mexico","1997","1997",36880
"20000","Total R&D personnel (FTE) - Total ","MEX","Mexico","1998","1998",39161
"20000","Total R&D personnel (FTE) - Total ","MEX","Mexico","1999","1999",39736
"20000","Total R&D personnel (FTE) - Total ","MEX","Mexico","2000","2000",40545
"20000","Total R&D personnel (FTE) - Total ","MEX","Mexico","2001","2001",43455
"20000","Total R&D personnel (FTE) - Total ","MEX","Mexico","2002","2002",53379
"20000","Total R&D personnel (FTE) - Total ","MEX","Mexico","2003","2003",59875
"20000","Total R&D personnel (FTE) - Total ","MEX","Mexico","2004","2004",75112
"20000","Total R&D personnel (FTE) - Total ","MEX","Mexico","2005","2005",83685
"20000","Total R&D personnel (FTE) - Total ","MEX","Mexico","2006","2006",66967
"20000","Total R&D personnel (FTE) - Total ","MEX","Mexico","2007","2007",70293
"20000","Total R&D personnel (FTE) - Total ","MEX","Mexico","2008","2008",75370
"20000","Total R&D personnel (FTE) - Total ","MEX","Mexico","2009","2009",83642
"20000","Total R&D personnel (FTE) - Total ","NLD","Netherlands","1996","1996",80822
"20000","Total R&D personnel (FTE) - Total ","NLD","Netherlands","1997","1997",83969
"20000","Total R&D personnel (FTE) - Total ","NLD","Netherlands","1998","1998",85485
"20000","Total R&D personnel (FTE) - Total ","NLD","Netherlands","1999","1999",89669
"20000","Total R&D personnel (FTE) - Total ","NLD","Netherlands","2000","2000",91313
"20000","Total R&D personnel (FTE) - Total ","NLD","Netherlands","2001","2001",92904
"20000","Total R&D personnel (FTE) - Total ","NLD","Netherlands","2002","2002",91548
"20000","Total R&D personnel (FTE) - Total ","NLD","Netherlands","2003","2003",90147
"20000","Total R&D personnel (FTE) - Total ","NLD","Netherlands","2004","2004",95702
"20000","Total R&D personnel (FTE) - Total ","NLD","Netherlands","2005","2005",93599
"20000","Total R&D personnel (FTE) - Total ","NLD","Netherlands","2006","2006",97835
"20000","Total R&D personnel (FTE) - Total ","NLD","Netherlands","2007","2007",93788
"20000","Total R&D personnel (FTE) - Total ","NLD","Netherlands","2008","2008",93432
"20000","Total R&D personnel (FTE) - Total ","NLD","Netherlands","2009","2009",87874
"20000","Total R&D personnel (FTE) - Total ","NLD","Netherlands","2010","2010",100544
"20000","Total R&D personnel (FTE) - Total ","NLD","Netherlands","2011","2011",116326
"20000","Total R&D personnel (FTE) - Total ","NLD","Netherlands","2012","2012",122588
"20000","Total R&D personnel (FTE) - Total ","NLD","Netherlands","2013","2013",121496
"20000","Total R&D personnel (FTE) - Total ","NZL","New Zealand","1997","1997",12908
"20000","Total R&D personnel (FTE) - Total ","NZL","New Zealand","1999","1999",13085
"20000","Total R&D personnel (FTE) - Total ","NZL","New Zealand","2001","2001",14964
"20000","Total R&D personnel (FTE) - Total ","NZL","New Zealand","2003","2003",18205
"20000","Total R&D personnel (FTE) - Total ","NZL","New Zealand","2005","2005",18929
"20000","Total R&D personnel (FTE) - Total ","NZL","New Zealand","2007","2007",21000
"20000","Total R&D personnel (FTE) - Total ","NZL","New Zealand","2009","2009",23200
"20000","Total R&D personnel (FTE) - Total ","NZL","New Zealand","2011","2011",23600
"20000","Total R&D personnel (FTE) - Total ","NOR","Norway","1997","1997",24877
"20000","Total R&D personnel (FTE) - Total ","NOR","Norway","1999","1999",25400
"20000","Total R&D personnel (FTE) - Total ","NOR","Norway","2001","2001",26705
"20000","Total R&D personnel (FTE) - Total ","NOR","Norway","2002","2002",26859
"20000","Total R&D personnel (FTE) - Total ","NOR","Norway","2003","2003",28503
"20000","Total R&D personnel (FTE) - Total ","NOR","Norway","2004","2004",29153
"20000","Total R&D personnel (FTE) - Total ","NOR","Norway","2005","2005",29966
"20000","Total R&D personnel (FTE) - Total ","NOR","Norway","2006","2006",31231
"20000","Total R&D personnel (FTE) - Total ","NOR","Norway","2007","2007",33635
"20000","Total R&D personnel (FTE) - Total ","NOR","Norway","2008","2008",35485
"20000","Total R&D personnel (FTE) - Total ","NOR","Norway","2009","2009",36091
"20000","Total R&D personnel (FTE) - Total ","NOR","Norway","2010","2010",36121
"20000","Total R&D personnel (FTE) - Total ","NOR","Norway","2011","2011",36950
"20000","Total R&D personnel (FTE) - Total ","NOR","Norway","2012","2012",37707
"20000","Total R&D personnel (FTE) - Total ","NOR","Norway","2013","2013",38578
"20000","Total R&D personnel (FTE) - Total ","POL","Poland","1996","1996",83348
"20000","Total R&D personnel (FTE) - Total ","POL","Poland","1997","1997",83803
"20000","Total R&D personnel (FTE) - Total ","POL","Poland","1998","1998",84510
"20000","Total R&D personnel (FTE) - Total ","POL","Poland","1999","1999",82368
"20000","Total R&D personnel (FTE) - Total ","POL","Poland","2000","2000",78925
"20000","Total R&D personnel (FTE) - Total ","POL","Poland","2001","2001",77232
"20000","Total R&D personnel (FTE) - Total ","POL","Poland","2002","2002",76214
"20000","Total R&D personnel (FTE) - Total ","POL","Poland","2003","2003",77040
"20000","Total R&D personnel (FTE) - Total ","POL","Poland","2004","2004",78362
"20000","Total R&D personnel (FTE) - Total ","POL","Poland","2005","2005",76761
"20000","Total R&D personnel (FTE) - Total ","POL","Poland","2006","2006",73554
"20000","Total R&D personnel (FTE) - Total ","POL","Poland","2007","2007",75309
"20000","Total R&D personnel (FTE) - Total ","POL","Poland","2008","2008",74596
"20000","Total R&D personnel (FTE) - Total ","POL","Poland","2009","2009",73581
"20000","Total R&D personnel (FTE) - Total ","POL","Poland","2010","2010",81843
"20000","Total R&D personnel (FTE) - Total ","POL","Poland","2011","2011",85219
"20000","Total R&D personnel (FTE) - Total ","POL","Poland","2012","2012",90716
"20000","Total R&D personnel (FTE) - Total ","POL","Poland","2013","2013",93751
"20000","Total R&D personnel (FTE) - Total ","PRT","Portugal","1996","1996",16750
"20000","Total R&D personnel (FTE) - Total ","PRT","Portugal","1997","1997",18035
"20000","Total R&D personnel (FTE) - Total ","PRT","Portugal","1998","1998",19420
"20000","Total R&D personnel (FTE) - Total ","PRT","Portugal","1999","1999",20806
"20000","Total R&D personnel (FTE) - Total ","PRT","Portugal","2000","2000",21888
"20000","Total R&D personnel (FTE) - Total ","PRT","Portugal","2001","2001",22970
"20000","Total R&D personnel (FTE) - Total ","PRT","Portugal","2002","2002",24250
"20000","Total R&D personnel (FTE) - Total ","PRT","Portugal","2003","2003",25529
"20000","Total R&D personnel (FTE) - Total ","PRT","Portugal","2004","2004",25629
"20000","Total R&D personnel (FTE) - Total ","PRT","Portugal","2005","2005",25728
"20000","Total R&D personnel (FTE) - Total ","PRT","Portugal","2006","2006",30531
